Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
94,Kids Spelling Matching Game,ACKAD Developer.,Education,9.0 MB,4.4,3T,1M+,3+
95,Photomath,"Photomath, Inc.",Education,7.0 MB,4.2,25L,100M+,3+
96,Illam Thedi Kalvi,TN-EMIS-CELL,Education,5.5 MB,4.1,2T,100K+,3+
97,Dhurina - Learning Made Easy,Dhurina,Education,21 MB,4.4,56T,1M+,3+
98,Camera Math - Homework Hel‪p,Crazysloth Pte. Ltd,Education,37 MB,3.7,11T,1M+,3+
99,Scientific calculator plus advanced 991 calc,Tools for student,Education,16 MB,4.7,2L,10M+,3+
100,BabyBus TV:Kids Videos & Games,BabyBus,Education,19 MB,4.2,550,1M+,3+
101,Drishti Learning App,Drishti IAS,Education,28 MB,4.3,17T,1M+,3+
102,Emergency Hospital Surgery Simulator: Doctor Games,Quiet Games Inc,Education,66 MB,3.8,8T,5M+,12+
103,Kahoot! Play & Create Quizzes,Kahoot!,Education,52 MB,4.5,4L,50M+,3+
104,Navneet DigiBook,Navneet Education Limited,Education,36 MB,2.0,1T,100K+,3+
105,Piano Melody,Learn To Master,Education,10 MB,4.1,68T,10M+,3+
106,LearnVern Online Courses,LearnVern,Education,27 MB,4.5,14T,500K+,3+
107,Lingokids: kids learning games,Lingokids - English Learning For Kids,Education,53 MB,4.3,1L,10M+,3+
108,English Kid Game,OckyPocky,Education,27 MB,4.5,5T,1M+,3+
109,Great Learning: Online Courses,Great Learning,Education,24 MB,4.6,15T,1M+,3+
110,Dictionary - All Language & Voice Translator,Beauty Video Zone,Education,18 MB,3.7,14T,1M+,3+
111,Shala Mitra – Study Material for GSEB,eSeva,Education,8.6 MB,4.4,31T,1M+,3+
112,English Speaking Practice,TalkEnglish,Education,63 MB,4.4,35T,5M+,3+
113,Sarkari Result - Apps on Google Play,SARKARI RESULT,Education,13 MB,4.0,43T,1M+,3+
114,A2 App,A2 Motivation,Education,35 MB,4.8,48T,100K+,3+
115,Kiddopia,Kiddopia Inc.,Education,813 MB,3.8,8T,1M+,3+
116,Able: Job Courses,"Online Courses, job training & interviews",Education,14 MB,4.6,1L,1M+,3+
117,"Genius Quiz: Maths, Science, English, GK, Commerce",Genius Teacher: Quizzes & Video Solutions App,Education,11 MB,4.4,2T,100K+,3+
118,Rojgar With Ankit (RWA),RWA App,Education,20 MB,4.7,45T,1M+,3+
119,Learn Indian Languages,Language Curry,Education,43 MB,4.3,15T,500K+,3+
120,अपने नाम की जमीन देखें नाम से,Riya Technoz,Education,7.5 MB,3.7,167,50K+,3+
121,Pydroid 3 - IDE for Python 3,IIEC,Education,56 MB,4.3,23T,1M+,3+
122,Chandra Institute Allahabad,Chandra Institute Official,Education,19 MB,4.6,36T,500K+,3+
123,Swachh Vidyalaya Puraskar,Swachh Vidyalaya Puraskar,Education,9.2 MB,4.8,14,10K+,3+
124,ScratchJr,Scratch Foundation,Education,26 MB,4.4,21T,1M+,3+
125,LinkedIn Learning: Online Courses to Learn Skills,LinkedIn,Education,21 MB,4.6,66T,5M+,3+
126,UPSC 2022: IAS/UPSC Prelims MOCK Test Preparation,"EduRev: Learning, Mock Test & Exam Preparation App",Education,17 MB,4.5,19T,1M+,3+
127,"Current Affairs, Hindi Podcast, Govt Naukri Update",Khabri - Current Affairs & Hindi Audio News,Education,19 MB,4.4,31T,1M+,3+
128,"Zerodha Varsity, Stock market education for all",Zerodha,Education,16 MB,4.5,8T,1M+,3+
129,Yocket - Study Abroad App,Yocket,Education,16 MB,4.1,11T,500K+,12+
130,Testwale,Exampur official,Education,2.0 MB,4.4,243,10K+,3+
131,"Exam Prep: Mocks, Live Classes",Oliveboard,Education,8.9 MB,4.5,57T,5M+,3+
132,Microsoft Maths Solver,Microsoft Corporation,Education,28 MB,4.4,1L,10M+,3+
133,English to Hindi Translator,Translation and Voice Typing Apps,Education,6.2 MB,4.3,2T,1M+,3+
134,English Conversation Practise,TalkEnglish,Education,55 MB,4.5,58T,5M+,3+
135,English Hindi Dictionary Offline,Innnovative-Software,Education,19 MB,4.4,22T,1M+,3+
136,Cooking School Games for Girls,Cooking Girls & Car Games,Education,27 MB,4.2,24T,1M+,3+
137,Science Sangrah Official,Anu Sir,Education,20 MB,4.6,2T,100K+,3+
138,Think and Learn Premium App,Think and Learn,Education,81 MB,4.5,37T,500K+,3+
139,The Winners Institute App,Winners Institute,Education,12 MB,4.6,2T,100K+,3+
140,Trains coloring book,Coloring Games,Education,40 MB,4.0,6T,1M+,3+
141,Yousician: Your Music Teacher,Yousician Ltd.,Education,66 MB,4.3,3L,10M+,3+
142,"ABC Song - Rhymes Videos, Games, Phonics Learning","Kidzooly - Kids Games, Rhymes , Nursery Songs.",Education,64 MB,4.0,14T,5M+,3+
143,Star Utsav - Live TV Guide,Md Tafsirul Islam,Education,9.9 MB,3.4,71,10K+,3+
144,NCERT Books,Philoid,Education,28 MB,4.5,1L,5M+,3+
145,Pinkfong Baby Shark,The Pinkfong Company,Education,70 MB,3.8,39T,10M+,3+
