Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
91,Formula Car Racing & Bike Game,WeeWoo Mobile,Sports,35 MB,3.8,52T,1Cr+,12+
92,"Pro Kabaddi 2021 - Schedule, Live Result, P Table",XX Video & Apps,Sports,6.7 MB,3.3,274,1L+,12+
93,MostBet Online,Football Corp,Sports,2.4 MB,,,1L+,3+
94,OLYMPIA - Universal Sports ID,Olympia World LTD,Sports,21 MB,4,115,10T+,12+
95,ICC Live International Cricket,International Cricket Council,Sports,20 MB,4.2,1L,1Cr+,3+
96,Indian Super League - Official App,SPORTZ INTERACTIVE,Sports,12 MB,4.2,22T,10L+,3+
97,Bike 3D Configurator,Elementals Studio,Sports,80 MB,4.2,39T,10L+,3+
98,"Live Cricket TV, Ptv, PSL Live",beelze,Sports,7.7 MB,3.1,49,5T+,3+
99,Dream Team 11 : Original Tips,Dream Team 11 Expert's,Sports,21 MB,4.1,35,5T+,3+
100,Dream Fantasy 11 :App Original,Dream Fantasy 11 : Dream Team Expert,Sports,20 MB,,,1T+,3+
101,Cric Line Guru Pro - Live Line,Cric Line Guru Pro,Sports,13 MB,4.1,7T,1L+,3+
102,PSL 2022 Cricket Schedule,Urdu Library,Sports,6.6 MB,3.8,163,1L+,3+
103,India VS Pakistan Train racing game,BKSON,Sports,80 MB,3.6,1T,1L+,3+
104,My Dream Cricket Circle- Pro11,MS Soft World,Sports,14 MB,4.4,104,10T+,3+
105,CricGuru777 - Cricket Live Line,Prime Cricket Live Line,Sports,9.7 MB,3.9,184,10T+,3+
106,Mone -Online matka play app,Boss group,Sports,10 MB,4.7,144,1T+,3+
107,Ambulance Stunts Driving: Mega Ramp GT Racing,Hi5 Games Studio,Sports,91 MB,4.6,1T,1L+,12+
108,Play Game - Win,Xemp Apps,Sports,2.7 MB,5,5,5T+,18+
109,Jackpot Line,Lumiminds Technologies,Sports,9.2 MB,4.2,72,10T+,3+
110,MCLL - Mobile Cricket Live Line,Mobile Cricket Live Line,Sports,10 MB,4.6,1T,1L+,3+
111,Nika TV Score,LuisHay,Sports,8.7 MB,3.8,114,50T+,3+
112,Lion Attack Wild Animal Games,Centaurus Games,Sports,78 MB,3.9,1T,10L+,12+
113,DY11- Fantasy Sport Prediction,Devendra Yadav 111,Sports,21 MB,3.3,211,1T+,3+
114,Psl cricket prediction 2022,Technique0406,Sports,6.6 MB,,,1T+,3+
115,CricBuddy - Personalized Live Cricket Scores,MessengerX.io,Sports,10 MB,3.7,2T,1L+,3+
116,Coin Picker(Tambola),OnPoint Solution,Sports,2.9 MB,3.5,12,10T+,3+
117,DaniData - Sports Betting Data,BaniData Group,Sports,10 MB,4.2,974,10T+,18+
118,Cricket Live Line - PSL BPL,Cricket Live Videos,Sports,16 MB,3.8,797,10T+,3+
119,Dafabet / DFB,Dafabet - DFB,Sports,15 MB,5,5,1T+,3+
120,"Vtrakit for Cricket - Score, Log Practice & More",Vtrakit Team,Sports,14 MB,4.1,115,50T+,3+
121,Wolf 777 - Cricket Live Line,Wolf Cricket,Sports,6.0 MB,,,1T+,3+
122,Sports TV Live,Sports TV Live,Sports,13 MB,3.5,889,5L+,3+
123,"BGMI Tournaments: Daily UC, Royal Pass Giveaway",Sharma Group Inc.,Sports,4.1 MB,4,348,10T+,3+
124,Aviator Game,AviatorMB,Sports,2.2 MB,2.5,140,50T+,3+
125,Win charge zo Play Game & win,Sowa Dev,Sports,9.6 MB,3.7,8,1T+,3+
126,CRICKET TIPS & PREDICTION,SARTAJ SINGHANIA,Sports,7.5 MB,3.7,17,10T+,3+
127,ESPN,Disney,Sports,38 MB,4.2,7L,5Cr+,3+
128,World 777 Live Line - Cricket Scores,World777LiveLine,Sports,12 MB,4.1,255,10T+,3+
129,Cricket World Live Line 777,Diamond Exchange Cricket Live Line,Sports,15 MB,4,16T,5L+,3+
130,Dream Starline,RR pvt. ltd,Sports,16 MB,4.2,181,10T+,3+
131,IND vs WI Live Cricket Score,CricketConnected.com,Sports,7.9 MB,4,1T,5L+,3+
132,Kabaddi Match Score - AllMatch,Smart App Developers Inc,Sports,6.7 MB,3.8,14,5T+,3+
133,Pool Ride Water Swimming Games,Aril Labs LLC,Sports,45 MB,3.9,1T,5L+,7+
134,ProTeam11 - Fantasy SL GL H2H Team Prediction App,Dream Guru Fantasy Team Predictor,Sports,5.8 MB,3.9,1T,1L+,12+
135,Kabaddi Match Live Score 2022,RK Solution  App,Sports,6.7 MB,3.6,14,5T+,3+
136,PlaySpots: Find & Book your turf with us,SoftFruit Solutions,Sports,22 MB,4.2,867,1L+,3+
137,Paise Kamane Wala Game,BC Tech Solution,Sports,12 MB,4.4,42,10T+,3+
138,WW2 US Army Commando Survival,Game Scapes Inc,Sports,58 MB,3.8,13T,10L+,16+
139,Fair Cricket Line : Live Score,Fair Cricket live Line,Sports,4.7 MB,4.1,278,1L+,3+
140,1x Sports betting Advice 1xBet,SpaserTransfer,Sports,15 MB,,,10T+,3+
141,T Sports Live,Mass Sports,Sports,11 MB,4.7,1T,1L+,3+
142,Sportening - App for True Fans,Sportening,Sports,75 MB,4.6,750,1L+,3+
143,My Team 11 - Fantasy Team Prediction,HiTech Apps Inc,Sports,5.8 MB,3.8,37,10T+,3+
144,"Watch.Hockey, THE new digital home of hockey",Nagravision,Sports,38 MB,2.2,481,50T+,12+
145,"Winner - Tournament Maker App, League Manager",Talent Apps,Sports,21 MB,4.4,17T,10L+,12+
146,Unlimited Custom Room,BM Team Code,Sports,2.3 MB,4.1,86,10T+,3+
147,Dream Team 11 - Cricket Live Line & Prediction,Tech hasan,Sports,6.0 MB,4,256,1L+,3+
148,Live Cricket Match & Score : Live Cricket 2020,WorldSoft71,Sports,2.3 MB,3.7,121,1L+,3+
149,Star Sports Pro Kabaddi AR App,STAR India Pvt. Ltd.,Sports,43 MB,3.8,591,50T+,12+
150,Sportskeeda: Cricket Scores,Sportskeeda Engineering,Sports,11 MB,4.2,19T,5L+,3+
151,Stats Guruji - Prediction Cricket App,Stats Guruji,Sports,4.0 MB,4.4,435,10T+,3+
152,Ten Sports Live -Ten Sports HD,Raz App,Sports,11 MB,4,26,10T+,3+
153,Car Robot Transforming Attack Robot fighting Games,Good Innovated Games,Sports,29 MB,3.9,657,1L+,7+
154,BowloMeter - Measure Your Bowling Speed In Cricket,Md Sanaullah Amir,Sports,5.9 MB,4.1,833,1L+,3+
155,Games+Sports 24/7 for Betway,GM2Apps,Sports,8.4 MB,5,1T,1L+,12+
156,Playform: Football Training,Playform,Sports,82 MB,4.4,2T,1L+,3+
157,GameSee: Livestream & Esports,GameSee.tv,Sports,33 MB,4,1T,1L+,12+
158,PSL Cricket Prediction,Technique0406,Sports,7.5 MB,,,5T+,3+
159,Live Cricket TV Score,IB Deva,Sports,14 MB,3.7,46,10T+,3+
160,CricLine - Live Scores BigBash,Live Cricket Line,Sports,8.9 MB,4.5,41T,50L+,3+
161,Live Cricket Scores - Cricket T20,Entertainment INC,Sports,15 MB,4,125,1L+,3+
162,Standup Comedy Funny Stickers,Samyak Singh,Sports,11 MB,4.3,66,10T+,12+
163,"Sports Radio - Live Cricket, Soccer, Tennis Score",sportsradio,Sports,24 MB,4.4,54,10T+,3+
164,IND VS WI India VS West Indies,Contact Backup,Sports,9.7 MB,3.8,113,1L+,3+
165,Exchange Cricket Live Line,Cric Line Guru Pro,Sports,11 MB,4.2,1T,10T+,3+
166,Dream Team Maker,Hubberspot,Sports,4.5 MB,4.1,3T,1L+,3+
167,Play Online Faridabad,Play Online Faridabad,Sports,3.4 MB,4.2,450,10T+,3+
168,The Tournament App,Techrefic Technologies Pvt. Ltd.,Sports,8.1 MB,3.1,157,50T+,3+
169,Fan Fight - All Sports Fantasy,Daniel de Oliveira,Sports,9.0 MB,3.8,5,1T+,3+
170,Live Pro kabaddi Match and Dp Maker Season 8 2021,Cricket Live Score 2020 Pro Kabaddi RTO Test,Sports,4.6 MB,3.4,98,10T+,3+
171,DD Sports Live Cricket Tips,Segismundo Zamora Florez,Sports,7.1 MB,4,8,10T+,3+
172,Live Cricket TV HD Matches,RB Plus Apps,Sports,8.1 MB,2.9,10,10T+,3+
173,SportVot: India’s Live Sports TV,Sportvot,Sports,18 MB,4.2,151,50T+,3+
174,Matka Live Line - Online Matka Play & Result App,MatkaSoftware.in,Sports,2.6 MB,4.3,75,10T+,3+
175,"Cricket.com - Live Score, Match Predictions & News",Crictec Media Limited,Sports,17 MB,3.9,11T,1Cr+,3+
176,PSL Tips King 2022,Technique1512,Sports,7.3 MB,3.4,67,50T+,3+
177,DAZN: Stream Live Sports,DAZN,Sports,14 MB,3.5,2L,1Cr+,12+
178,Bicycling Tracker,Sport & Travel,Sports,8.2 MB,4.3,18T,10L+,3+
179,Cricket Live Line,Cricket Line,Sports,6.0 MB,4.4,81T,1Cr+,3+
180,My11Circle App : My 11 Circle Team Prediction Tips,Killer Krunali,Sports,5.1 MB,4,37,10T+,3+
181,Live Cricket Score Stream,Salman Syed,Sports,2.4 MB,3.5,2T,10L+,3+
182,RR Starline - Play Matka App,rrstarline,Sports,3.7 MB,4.4,45,5T+,3+
183,Cricket Live Match,Suporto Apps,Sports,7.0 MB,3.3,512,5L+,3+
184,KheloMore: Book sports venues,Khelomore Sports Pvt. Ltd.,Sports,19 MB,4.6,689,50T+,3+
185,PESHUB 22 Unofficial,Nova Software Studio,Sports,75 MB,4.3,458,1L+,3+
186,Banduk Wala Game | Gun Strike,Newry,Sports,56 MB,3.4,4T,10L+,16+
187,Cricket Khai Lagai,Gaurav Meghanathi,Sports,6.4 MB,4,167,50T+,3+
188,Cricket Prediction by Expert's,Cricket Club,Sports,6.6 MB,,,1T+,3+
189,D11: Live Cricket & Prediction,RV Cricket Apps,Sports,5.5 MB,4,21,1T+,3+
190,Cricket Australia Live,Cricket Australia,Sports,22 MB,4.5,19T,10L+,3+
191,A Sports,ARY SERVICES LTD.,Sports,36 MB,3.7,631,1L+,3+
192,Karate Training - Offline & Online Videos,Thunder Wolf,Sports,40 MB,4.3,2T,1L+,3+
193,CricPro : Cricket Live Line & Fastest Live Score,CricPro INC,Sports,3.0 MB,4.4,1T,1L+,3+
194,SportsTiger Live Score & News,Sports Tiger,Sports,31 MB,4.1,1T,1L+,3+
195,PSL 7 -  PSL 2022 Live Cricket,VPN Coders King,Sports,6.3 MB,,,5T+,12+
196,AiScore - Live Sports Scores,AiScore Sports,Sports,24 MB,4.3,64T,50L+,3+
197,Ghar Baithe Paise Kamaye Game,HR Games Dev Group,Sports,12 MB,,,5T+,3+
198,PSL BETTING TIPS & JACKPOT WIN,cricksolustion,Sports,4.2 MB,4.8,20,5T+,3+
199,Paisa Jitne Wala Game,HR Games Dev Group,Sports,12 MB,4.5,13,5T+,3+
200,NBA: Live Games & Scores,"NBA Properties, Inc.",Sports,67 MB,3.4,1L,1Cr+,3+
201,PESHUB 22 Unofficial,Nova Software Studio,Sports,75 MB,4.3,458,1L+,3+
202,CricGo : Cricket Live Line & Fast Live Score,Cricgodeveloper,Sports,4.1 MB,4.7,820,1L+,3+
203,Top Cricket Prediction,Top Cricket Prediction,Sports,11 MB,4,10,5T+,3+
204,Cricket Fast Line - Fast Cricket Live Line,bspl,Sports,7.1 MB,4.4,17T,10L+,3+
205,Dream King11™ Dream Prediction,TR Appz Dev,Sports,6.3 MB,3.9,84,10T+,3+
206,My11Circle Pro - My11Circle Team Prediction & Tips,My11 Millionaire,Sports,8.0 MB,3.8,99,50T+,3+
