Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
100,Speech Blubs: Language Therapy,Blub Blub Inc.,Parenting,96 MB,3.6,4T,10L+,3+
101,Safe Surfer: Block Porn & Apps,Safe Surfer Ltd,Parenting,53 MB,3.9,3T,5L+,3+
102,KinderPass: Baby Development,KinderPass- Child Health & Development,Parenting,26 MB,4.3,701,50T+,3+
103,Gujarati Baby Names,AppzOK,Parenting,3.1 MB,4,43,50T+,3+
104,Astro Name - Indian Hindu Baby Name Suggestion App,VIVID Apps,Parenting,4.6 MB,4.2,207,50T+,3+
105,Parental Control & Kids GPS: Kaspersky SafeKids,Kaspersky Lab Switzerland,Parenting,74 MB,3.7,38T,10L+,3+
106,Future Baby Face - Baby Maker,Snow Peak Apps,Parenting,36 MB,,,10T+,3+
107,Baby Names | শিশুদের সুন্দর নাম,Bangla Apps Dev.,Parenting,9.7 MB,3.8,13,5T+,3+
108,Breastfeeding Tracker,Wachanga,Parenting,18 MB,4.4,78T,10L+,3+
109,GLOW. Pregnancy & Baby Tracker + Baby Registry App,Glow Inc,Parenting,44 MB,4.6,25T,10L+,12+
110,Pure Web - Porn Blocker & Website Blocker,Mvsweb LLP,Parenting,4.6 MB,2.9,6T,1L+,3+
111,Namly - Baby Names - Baby Girl and Baby Boy Names,Gilliy,Parenting,4.4 MB,4.8,142,10T+,3+
112,Tamil Baby Names & Meanings,AppzOK,Parenting,3.1 MB,3.5,29,50T+,3+
113,WALogs - Children last seen online,whatsfamily,Parenting,6.2 MB,4,461,10T+,3+
114,Sound for kids. Baby touch sound. Laugh & cry,Mama papa,Parenting,60 MB,3.8,712,1L+,3+
115,Baby Name Finder,Quickapps,Parenting,3.5 MB,4.3,16,10T+,3+
116,Parental Control & Kids Screen Time App - Plano,PLANO PTE LTD,Parenting,33 MB,3.3,2T,5L+,3+
117,Baby Sleep Sounds,Dream_Studio,Parenting,10 MB,4.4,17T,10L+,3+
118,Solid Starts: Introducing Real Food to Babies,Solid Starts,Parenting,13 MB,4.7,385,1L+,3+
119,Telugu Baby Names and Meanings,AppzOK,Parenting,5.1 MB,3.8,68,50T+,3+
120,Hindu Baby Boy Names - 100000+ Hindu Boy Names,Smartobile Solutions,Parenting,4.8 MB,2.7,78,50T+,3+
121,MMGuardian Parental Control,MMGuardian.com,Parenting,8.6 MB,4.2,23T,10L+,3+
122,MomJunction - Your Pregnancy Guide,MOMJUNCTION,Parenting,6.7 MB,4.1,133,50T+,12+
123,Whats Tracker: My Profile View,QA Developers,Parenting,8.2 MB,2.7,52,1T+,3+
124,My Pregnancy - Pregnancy Tracker App 🤰,Neiman,Parenting,8.2 MB,4.7,30T,10L+,3+
125,New Dad App Dadditude,Dadditude,Parenting,10 MB,4.4,77,5T+,3+
126,Baby Rattle Toy,Apps by Forbis,Parenting,6.5 MB,3.5,91,50T+,3+
127,280days: Pregnancy Diary,amane factory inc.,Parenting,29 MB,4.3,38T,10L+,3+
128,"Pregnancy calculator, symptoms, signs, calendar",Krishnu labs,Parenting,5.8 MB,4.2,147,10T+,3+
129,SpeakEasy: Home Speech Therapy,SpeakEasy Community,Parenting,18 MB,2.9,229,50T+,3+
130,Baby Announcement,Birth Announcement,Parenting,19 MB,1.5,49,10T+,3+
131,Movy - Safe Videos and Cartoons,Matlub Inc.,Parenting,8.7 MB,4,364,1L+,3+
132,Baby Meal Tracker - Baby Weaning & Nutrients Guide,Self Mentor,Parenting,14 MB,3.9,103,10T+,3+
133,Meaning Names - Latest Baby Boy & Girl Names,Meaning Names,Parenting,7.3 MB,,,1T+,3+
134,Contraction Timer & Counter 9m,Neiman,Parenting,6.8 MB,4.8,40T,10L+,3+
135,Baby Name Together,Linkinet,Parenting,23 MB,2.8,3T,5L+,3+
136,PiggyRide - Online Live Classes App,PiggyRide,Parenting,28 MB,3.9,124,10T+,3+
137,Qustodio Parental Control App & Family Locator,Qustodio LLC,Parenting,20 MB,4,8T,10L+,3+
138,Baby Maker: Baby Generator App,Kiran Devi,Parenting,10 MB,2.9,1T,1L+,3+
139,Cute Baby Phone Toy Fun,Sweet Maker Shop,Parenting,26 MB,3.9,148,1L+,3+
140,Miko 3 Parent,Emotix,Parenting,26 MB,5,135,10T+,3+
141,"Baby phone - animals, numbers, colors & music",Mama papa,Parenting,49 MB,3.4,802,1L+,3+
142,Kids task timer - visual timer for kids,DIG IT PTE. LTD.,Parenting,5.1 MB,4.3,147,10T+,3+
143,I'm Pregnant - Pregnancy Week By Week,BabyJoyApp,Parenting,28 MB,4.4,38T,10L+,3+
144,Wedding Invitation Save-the-Date Ideas Guide,Parenting Pets Care Tips,Parenting,3.9 MB,1.9,36,10T+,3+
145,How to Talk With Your Baby,Grow Together,Parenting,3.3 MB,,,10T+,3+
146,Tamil Baby Names,Rajarajan Kumanan,Parenting,4.1 MB,,,1T+,3+
147,Pregnancy Weeks Calculator by Facemama,Isis Producciones y Cía. Ltda.,Parenting,9.1 MB,3.8,2T,10L+,3+
148,Baby: Doll Toys Videos,Ketua Perjadi,Parenting,14 MB,,,1T+,3+
149,Baby Names Combinator,jhp1986,Parenting,6.0 MB,2.2,179,1L+,3+
150,Bedtime Stories and Fairy Tales for Kids - HeyKids,Vveee Media,Parenting,6.9 MB,,,10L+,3+
151,design of children's shoe sandals,RatnaAPK,Parenting,3.8 MB,,,5T+,3+
152,Kannada Baby Names And Meanings,AppzOK,Parenting,3.4 MB,3.8,25,10T+,3+
153,Malayalam Baby Names And Meanings 6000+,AppzOK,Parenting,3.1 MB,4.2,14,10T+,3+
154,Bengali Baby Names & Meanings 6000+,AppzOK,Parenting,3.1 MB,3.7,46,10T+,3+
155,S'moresUp - Smart Chores App,"Rotation 5, LLC",Parenting,32 MB,4.9,767,1L+,3+
156,Good Milk Good Baby,IT SDU TRANG,Parenting,5.2 MB,3.4,12,5T+,3+
157,Stree Pregnancy Chat,Stree - Pregnancy chat,Parenting,16 MB,4.6,307,10T+,12+
158,BabySparks - Development Activities and Milestones,BabySparks,Parenting,105 MB,3.9,11T,10L+,3+
159,Mom Dad Love Wallpaper,Android App Dream Studio,Parenting,15 MB,3.8,61,10T+,3+
160,Womaniya - Pregnancy App in Hindi - Made in India,Womaniya: Indian Pregnancy App,Parenting,20 MB,3.9,2T,1L+,12+
161,Baby Daybook - Baby Tracker,Baltapis,Parenting,21 MB,4.6,49T,10L+,3+
162,GeoLocator — Family Tracker,GeoLoc,Parenting,22 MB,4.1,11T,5L+,12+
163,"Huckleberry: Baby & Child Tracker, Sleep Experts",Huckleberry Labs,Parenting,24 MB,4.6,11T,5L+,3+
164,ChatterBaby,UCLA Health,Parenting,11 MB,3.7,619,1L+,3+
165,Unicorn Care Babysitter Games,Hello-Game,Parenting,30 MB,4.2,202,1L+,3+
166,Pregnancy Tracker Week by Week,sudhir,Parenting,12 MB,,,1T+,3+
167,Baby Tracker - Breast Feeding,Easy Health,Parenting,9.1 MB,4.6,3T,1L+,3+
168,Muslim / Islamic Baby Names and Meanings,Creative Apps Team,Parenting,2.5 MB,4.3,103,50T+,3+
169,Lullaby for Babies,Dream_Studio,Parenting,57 MB,4.7,18T,10L+,3+
170,Pregnancy Guide App,EllStudiosApp,Parenting,7.0 MB,3.8,485,1L+,3+
171,Kids Dashboard (Parental Control Kids Mode App),Tabnova,Parenting,19 MB,4.9,513,10T+,3+
172,BabyTime (Tracking & Analysis),Simfler,Parenting,16 MB,4.9,23T,10L+,3+
173,Nuttri - Baby Food: Guide to starting solids,🍓 MultiMension Inc.,Parenting,20 MB,4,751,1L+,3+
174,"WAAH - Baby Monitor, Baby Translator",Deeply Inc.,Parenting,33 MB,3.5,127,50T+,3+
175,Pregnancy Baby & Baby Kick,gelato_cooper,Parenting,11 MB,3.7,388,1L+,3+
176,Cooking Toys Collection Videos,Mbas Omah,Parenting,14 MB,4,523,5L+,12+
177,girls sandals designs,RatnaAPK,Parenting,3.6 MB,5,15,10T+,3+
178,CryAnalyzer,FirstAscent,Parenting,5.4 MB,2.7,416,1L+,3+
179,Babba - Baby Cry Translator,Deeply Inc.,Parenting,88 MB,2.8,362,1L+,3+
180,Baby Names. 6000+,Hodoz,Parenting,6.1 MB,,,10T+,3+
181,Sebamed Baby Tracker,PT. Eltean Luhurkencana,Parenting,7.6 MB,,,1T+,3+
182,Get Pregnant Faster,othmane andoapp,Parenting,1.9 MB,,,10T+,3+
183,Baby Generator - A Baby Maker App,Tripti,Parenting,8.9 MB,3.7,321,10T+,3+
184,Yumi Baby Food Recipes (Daily Update),Infokuu,Parenting,4.0 MB,1.7,37,10T+,3+
185,Needly SOS safety Security app,Abhinav IT Solutions Pvt Ltd,Parenting,10 MB,4.7,15,500+,3+
186,BLW Meals,BLW SOCIAL,Parenting,4.8 MB,,,10T+,3+
187,Puzzle Play: Building Blocks,wonderkind GmbH,Parenting,27 MB,,,10T+,3+
188,MomDiary: Week by week Pregnancy Tracker,Hightech Solution,Parenting,10 MB,4.5,1T,1L+,3+
189,Kids Mode,bLAB,Parenting,4.8 MB,3.4,205,1L+,3+
190,Monster Maker,Sunny Kid Games,Parenting,16 MB,4.2,1T,5L+,3+
191,"ABC, Numbers, Words, Animals, Toys Tracing",GameFall,Parenting,39 MB,3.8,910,50T+,3+
192,Baby Distractor: Finger Paint,Jalapeño Mobile Apps,Parenting,2.5 MB,3.9,2T,10L+,3+
193,Sikh Baby Names,Creative Apps Team,Parenting,2.3 MB,3.8,33,10T+,3+
194,ESET Parental Control,ESET,Parenting,9.4 MB,3.6,23T,5L+,3+
195,Pregnancy Calculator and Calendar,Smiko,Parenting,12 MB,4.3,7T,10L+,3+
196,Pregnancy Guru – Majestic Garbh Sanskar,Team Majestic,Parenting,38 MB,4.3,229,10T+,3+
197,Parent app - Kid Security,Kid security LLP,Parenting,22 MB,4.3,16T,10L+,3+
198,Your Baby Month By Month,devalip,Parenting,5.4 MB,,,10T+,3+
199,Family GPS tracker KidsControl,KidControl Dev.,Parenting,11 MB,3.9,15T,10L+,3+
200,Totto Parents App,Totto Learning,Parenting,19 MB,4.9,31,1T+,3+
201,Porn Site Blocker & Web Filter - WebBlockerApp,Medialogix Studio,Parenting,6.4 MB,3.2,27,5T+,3+
202,Pregnancy tracker - Momly,"Pregnancy apps contraction timer, due date tracker",Parenting,25 MB,4.4,34T,10L+,3+
203,Unicorn Pregnant Mother Games,Doll Surprise Games For Kids,Parenting,42 MB,,,10T+,3+
204,Kids police - designed for parents,Kids police,Parenting,35 MB,4.4,3T,10L+,3+
205,theAsianparent: Pregnancy+Baby,theAsianparent - largest pregnancy & parenting app,Parenting,16 MB,4.6,2L,50L+,12+
206,Parental Control Kroha,Parental Control Kroha,Parenting,9.5 MB,4,17T,10L+,3+
207,Baby Laughing Remix,Entertainers,Parenting,4.6 MB,4.5,2T,5L+,16+
208,Saheli App for Pregnant Women,Mydia100,Parenting,37 MB,4.2,1T,1L+,3+
209,Pregnancy Tracker Week By Week,Pregnancy App countdown baby tracker by BabyInside,Parenting,42 MB,4.4,20T,5L+,3+
210,Birth Announcement,Birth Announcement,Parenting,51 MB,2.9,58,10T+,3+
211,Housie King : Tambola Game : Bingo Family Game,BRN Infosolutions Ltd.,Parenting,38 MB,3.6,14,1T+,3+
212,"Pregnancy tracker week by week, countdown",Evaevacorp,Parenting,9.9 MB,5,1T,50T+,3+
213,White Noise Baby Sleep: Lullin,Std Lullin:Design & Develop For NewBorn to Elder,Parenting,38 MB,4.7,10T,1L+,3+
214,Kids Song - Best Offline Nursery Rhymes 2021,Nursery Ryhmes Baby & Kids Videos,Parenting,87 MB,4.9,73,10T+,3+
215,Pregnancy Calendar,Vladimir Fedrushkov,Parenting,9.4 MB,4.4,26T,10L+,3+
216,Leeloo AAC - Autism Speech App for Nonverbal Kids,Dream Oriented Ltd.,Parenting,12 MB,4.6,463,50T+,3+
217,Healthy Pregnancy: Doctor Nutrition and Diet Plan,King Square Apps,Parenting,41 MB,,,5T+,3+
218,"Pregnancy, Baby Care, Diet & Yoga Tips for Women",Baby Indian- Health Tips By Dr.Chandra Lakshmi,Parenting,9.5 MB,4.3,274,50T+,12+
219,Origami for kids: easy paper schemes,Womanoka,Parenting,8.5 MB,4.4,1T,1L+,3+
220,Parent Hub by PlayShifu,PlayShifu,Parenting,107 MB,,,1T+,3+
221,Marathi Baby Names 7500+,AppzOK,Parenting,3.5 MB,3.3,18,10T+,3+
222,"Child Reward - chores, rewards and statistics",Bartosz Smyk,Parenting,18 MB,4.5,392,50T+,3+
223,BabySitter Locator,Digital Cairo Software,Parenting,2.5 MB,,,1T+,3+
224,Pregnancy care week by week,Game Band,Parenting,61 MB,,,5T+,3+
225,PregVeda - My Pregnancy Guide,Prachet Lifetech Pvt. Ltd.,Parenting,35 MB,4.9,23,500+,3+
