Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
159,"IGP:Flowers, Cakes, Birthday & Diwali Gifts Online",Indian Gifts Portal,Shopping,5.4 MB,4,5T,5L+,3+
160,"Price History: Deals, Price Tracker & Price Alerts",Price History,Shopping,8.1 MB,3.9,12T,5L+,3+
161,Qoo10 - ShopClues Prime Mall,Qoo10 PTE. LTD.,Shopping,21 MB,3.9,3T,1L+,3+
162,Low Price Online Shopping App,Yami Enterprises Pvt Ltd,Shopping,11 MB,2.3,218,50T+,3+
163,Print Photo - Phone Case Maker,printphoto.in,Shopping,16 MB,4.6,28T,50L+,3+
164,Locanto - Classifieds App,Yalwa,Shopping,3.4 MB,4.3,14T,10L+,12+
165,RetailerShakti - Wholesale B2B Shopping App,Retailershakti Developer,Shopping,5.8 MB,3.6,2T,5L+,3+
166,Wish - Shopping Made Fun,Wish Inc.,Shopping,18 MB,4.3,1Cr,50Cr+,12+
167,Woovly Online Shopping App,"Woovly: Earn Money Online, 100% Cashback Offers",Shopping,12 MB,3.9,10T,10L+,12+
168,Chosee - Bisnis Reseller Untuk Alumni Meesho,Chosee,Shopping,10 MB,4,972,1L+,3+
169,F Fire id sell app - F-F Accounts,Extra Techy,Shopping,16 MB,4.1,425,1L+,3+
170,Grocery Shopping App for Grofers BigBasket Jiomart,Free Online Shopping Apps,Shopping,2.4 MB,3.7,1T,1L+,3+
171,BRAND FACTORY - Shopping App on Discounts 365 Days,BrandFactory,Shopping,7.1 MB,3.4,8T,10L+,3+
172,TataNeu: rewarding experiences,TATA Digital Limited,Shopping,28 MB,3.9,1T,1L+,3+
173,"StarQuik, a TATA enterprise - Order Grocery Online",StarQuik,Shopping,23 MB,4.2,26T,10L+,3+
174,LoveLocal - Buy Online Grocery From Local Shops,LoveLocal,Shopping,17 MB,4.1,3T,1L+,3+
175,All In One Online Shopping App,MSCH INDIA PVT LTD,Shopping,5.2 MB,4.2,169,50T+,3+
176,Nature's Basket Online Grocery,Nature's Basket,Shopping,25 MB,3.7,10T,5L+,3+
177,"FreeUp: Sell, Buy, Recycle",Freeup Inc.,Shopping,16 MB,4.5,4T,5L+,3+
178,"Titan Eyeplus: Eyeglasses, Sunglasses & Contacts",Titan India,Shopping,27 MB,4.2,801,1L+,3+
179,Oriana.com by GRT Jewellers | Online Shopping,Oriana.com,Shopping,16 MB,3.5,9T,5L+,3+
180,Gramophone - Smart Farming App,Gramophone,Shopping,12 MB,4.4,1T,1L+,3+
181,"Winni - Cake, Flowers & Gifts",Winni - Celebrate Relations,Shopping,7.0 MB,4.2,23T,5L+,3+
182,Mobile Phone Online Shopping Flipkart,Amazing Apps Private Limited,Shopping,9.5 MB,3.5,452,1L+,3+
183,Health & Glow - Online Beauty Shopping App,Health & Glow Private Limited,Shopping,11 MB,4.6,5T,10L+,3+
184,AfterShip Package Tracker,AfterShip Limited,Shopping,10 MB,4.5,2L,50L+,3+
185,Mi Lifestyle,MI LifeStyle Marketing Global Private Limited,Shopping,14 MB,4.4,12T,5L+,3+
186,PUMA Online Shopping App,Shopping App Development,Shopping,9.6 MB,3.5,32,10T+,3+
187,Healofy Momstore: Mom & Baby Products,"Indian Pregnancy Parenting tips, Baby products app",Shopping,11 MB,4,106,1L+,3+
188,Paytm Mall: Best Online Shopping App in India,Paytm - One97 Communications Ltd.,Shopping,9.7 MB,3.2,1L,1Cr+,3+
189,Mobile Price Comparison App,91Digital,Shopping,7.4 MB,4.4,67T,10L+,3+
190,StarAndDaisy - Baby & Kids,StarAndDaisy,Shopping,12 MB,4.4,132,10T+,3+
191,VASTRANAND Original Textiles Product Reselling App,vastranand,Shopping,7.2 MB,3.8,786,1L+,3+
192,USTRAA,Happily Unmarried Marketing Pvt Ltd,Shopping,9.1 MB,4,2T,1L+,3+
